id,countryName,continent,population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
516,Namibia,Africa,2604170.0,1.4205E10,1.0947277246E10,5454.71,4203749.081665175
266,Gabon,Africa,2436570.0,2.2472E10,1.3863183526E10,9222.82,5689630.721054597
426,Lesotho,Africa,2330320.0,2.716E9,2.241017076E9,1165.51,961677.8279377939
624,Guinea-Bissau,Africa,2150840.0,1.802E9,1.122643236E9,837.81,521955.71776608203
705,Slovenia,Europe,2119680.0,6.9888E10,4.4708598649E10,32971.09,2.109214534693916E7
807,North Macedonia,Europe,2085679.9999999998,1.5546E10,1.0745782586E10,7453.69,5152172.234475087
428,Latvia,Europe,1830210.0,4.3128E10,2.7572698482E10,23564.5,1.5065319543658923E7
226,Equatorial Guinea,Africa,1714670.0,1.4956E10,1.0677940568E10,8722.37,6227402.68856398
412,Kosovo,Europe,1663590.0,0.0,6.714465857E9,4036.12,4036130.21056871
780,Trinidad and Tobago,North America,1534940.0,2.503E10,2.4086176564E10,16306.86,1.5691933602616388E7
48,Bahrain,Asia,1485510.0,4.5421E10,3.2179073596E10,30576.05,2.166197036438664E7
626,Timor-Leste,Asia,1360600.0,2.035E9,2.703285752E9,1495.67,1986833.5675437308
233,Estonia,Europe,1322770.0,4.0102E10,2.333792056E10,30316.8,1.7643218821110245E7
480,Mauritius,Africa,1300560.0,1.2538E10,1.2216235024E10,9640.48,9393057.624407947
196,Cyprus,Europe,1260140.0,3.0137E10,2.0046234311E10,23915.63,1.5907942221499197E7
748,Eswatini,Africa,1210820.0,4.945E9,4.007002048E9,4084.0,3309329.254554765
262,Djibouti,Africa,1136460.0,4.199E9,1.891520369E9,3694.82,1664396.7838727275
242,Fiji,Oceania,936380.0,5.734E9,4.671118364E9,6123.62,4988485.832674769
174,Comoros,Africa,852080.0,1.386E9,1.149802573E9,1626.62,1349406.8315181672
328,Guyana,South America,813830.0,1.6377E10,3.436626633E9,20123.27,4222781.948318445
64,Bhutan,Asia,787420.0,2.881E9,2.212642587E9,3658.77,2809990.331716238
90,Solomon Islands,Oceania,740420.0,1.783E9,1.133967215E9,2408.08,1531518.887928473
